Name,FirstName,LastName,Department,EmployeeNo,Email,NetworkID,manager,JoiningDate,EndDate,inactive
kalanidhi maran,kalanidhi,maran,Management,srk00,kalanidhi.maran@sunrisers.com,kalanidhi.maran,,,
kavya maran,kavya,maran,Management,srk10,kavya.maran@sunrisers.com,kavya.maran,srk00,,,
Pat cummins,pat,cummins,Engineering,sr10,mahesh.nattali@eshiam.com,pat.cummins,srk10,,,false
Henrich klassen,henrich,klassen,Sales,sr11,henrich.klassen@sunrisers.com,henrich.klassen,sr10,,26-06-2024,
Aiden markram,aiden,markram,Engineering,sr12,aiden.markram@sunrisers.com,aiden.markram,sr10,,,
Travis head,travis,head,Sales,sr13,travis.head@sunrisers.com,travis.head,sr10,,,
Abhishek sharma,abhishek,sharma,InformationTechnology,sr14,abhishek.sharma@sunrisers.com,abhishek.sharma,sr10,,,
Nitish reddy,nitish,reddy,InformationTechnology,sr15,nitish.reddy@sunrisers.com,nitish.reddy,sr10,,,
Bhuvi kumar,bhuvi,kumar,Engineering,sr16,bhuvi.kumar@sunrisers.com,bhuvi.kumar,sr10,,
Mayank agarwal ,mayank,agarwal,Sales,sr17,mayank.agarwal@sunrisers.com,mayank.agarwal,sr10,,,
Jayadev unadkat,jayadev,unadkat,Engineering,sr18,jayadev.unadkat@sunrisers.com,jayadev.unadkat,sr10,,,
Abdul samad,abdul,samad,InformationTechnology,sr19,abdul.samad@sunrisers.com,abdul.samad,sr10,,,false
Rahul Thripati,rahul,thripati,Sales,sr20,rahul.thripati@sunrisers.com,rahul.thripati,sr10,,
Glenn Philips,glenn,philips,Sales,sr21,glenn.philips@sunrisers.com,glenn.philips,sr10,,
Umran Malik,umran,malik,Sales,sr22,umran.malik@sunrisers.com,umran.malik,sr10,,
Shabaz Ahmed,shabaz,ahmed,Sales,sr23,shabaz.ahmed@sunrisers.com,shabaz.ahmed,sr10,,
Muthaih Muralidharan,Muthaih,Muralidharan,EngineeringCoach,sr24,Muthaih.Muralidharan@sunrisers.com,Muthaih.Muralidharan,sr10,30-06-2024,26-06-2024
Shivam Dhube,Shivam,Dhube,Sales,sr25,Shivam.Dhube@sunrisers.com,Shivam.Dhube,sr10,27-06-2024,29-06-2024
Vijay Shankar,Vijay,Shankar,InformationTechnology,sr26,Vijay.Shankar@sunrisers.com,Vijay.Shankar,sr10,13-02-2025,28-06-2024
Kedhar Jadhav,Kedhar,Jadhav,InformationTechnology,sr27,Kedhar.Jadhav@sunrisers.com,Kedhar.Jadhav,sr10,12-02-2025,28-06-2024
Axar Patel,Axar,Patel,Engineering,sr28,Axar.Patel@sunrisers.com,Axar.Patel,sr10,09-07-2024,28-07-2024
Rachin Ravindhra,Rachin,Ravindhra,Finance,sr29,rachin.ravindhra@sunrisers.com,Rachin.Ravindhra,sr10,12-02-2025,28-07-2026
Michael Lee,Michael,Lee,Interior,EMP00001,michael.lee@example.com,mlee855,,2019-05-04,,
